strategy,total_trials,valid_trials,invalid_trials,successful_trials,failed_trials,success_rate,analysis_error_count,duplicate_frame_total,out_of_order_frame_total,largest_receive_gap_ms_count,largest_receive_gap_ms_min,largest_receive_gap_ms_mean,largest_receive_gap_ms_median,largest_receive_gap_ms_max,largest_receive_gap_ms_stddev,missing_frame_count_count,missing_frame_count_min,missing_frame_count_mean,missing_frame_count_median,missing_frame_count_max,missing_frame_count_stddev,received_unique_frames_count,received_unique_frames_min,received_unique_frames_mean,received_unique_frames_median,received_unique_frames_max,received_unique_frames_stddev,largest_frame_id_gap_count,largest_frame_id_gap_min,largest_frame_id_gap_mean,largest_frame_id_gap_median,largest_frame_id_gap_max,largest_frame_id_gap_stddev,recovery_action_duration_ms_count,recovery_action_duration_ms_min,recovery_action_duration_ms_mean,recovery_action_duration_ms_median,recovery_action_duration_ms_max,recovery_action_duration_ms_stddev,session_count_count,session_count_min,session_count_mean,session_count_median,session_count_max,session_count_stddev,connection_count_count,connection_count_min,connection_count_mean,connection_count_median,connection_count_max,connection_count_stddev
migrate,10,10,0,10,0,1.0,0,0,0,10,935.329119,973.3045474999999,937.3732830000001,1268.3589460000003,104.02437159939062,10,2.0,2.4,2.0,5.0,0.9660917830792959,10,55.0,57.6,58.0,58.0,0.9660917830792959,10,2.0,2.1,2.0,3.0,0.31622776601683794,10,155.0,188.9,156.0,439.0,88.4564550750506,10,1.0,1.0,1.0,1.0,0.0,10,1.0,1.0,1.0,1.0,0.0
reconnect,10,10,0,10,0,1.0,0,0,0,10,798.2255479999999,830.2038675999999,802.0256715,900.0956359999996,47.74763358449679,10,7.0,7.6,7.0,10.0,0.9660917830792959,10,50.0,52.4,53.0,53.0,0.9660917830792959,10,7.0,7.3,7.0,8.0,0.48304589153964794,10,1.0,1.1,1.0,2.0,0.31622776601683794,10,2.0,2.0,2.0,2.0,0.0,10,2.0,2.0,2.0,2.0,0.0
